"","Age","Gender","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","age_grp"
"113","Age 45","Gender Male","Country United States","state MO","self_employed No","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 6-25","remote_work Yes","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help Yes","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Yes","phys_health_interview Yes","mental_vs_physical Yes","obs_consequence No","age_grp 41-55"
"114","Age 32","Gender Male","Country United States","state NY","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 100-500","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"115","Age 28","Gender Male","Country United States","state TX","self_employed No","family_history No","treatment No","work_interfere NA","no_employees More than 1000","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"116","Age 26","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence Yes","age_grp 26-30"
"117","Age 21","Gender Male","Country United Kingdom","state NA","self_employed Yes","family_history No","treatment No","work_interfere Often","no_employees 1-5","remote_work Yes","tech_company No","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Very difficult","mental_health_consequence Yes","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp <=21"
"118","Age 27","Gender Male","Country Canada","state NA","self_employed No","family_history No","treatment No","work_interfere Rarely","no_employees 6-25","remote_work No","tech_company No","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Yes","leave Very easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"119","Age 18","Gender Male","Country United States","state CT","self_employed No","family_history No","treatment Yes","work_interfere Rarely","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp minnor"
"120","Age 35","Gender Male","Country United States","state CO","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"121","Age 29","Gender Male","Country United States","state GA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help Yes","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence Yes","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"122","Age 25","Gender Male","Country United States","state DC","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 26-100","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 22-25"
"123","Age 33","Gender Male","Country United States","state MN","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 6-25","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program Don't know","seek_help Don't know","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"124","Age 36","Gender Male","Country United States","state WA","self_employed No","family_history No","treatment No","work_interfere Often","no_employees 6-25","remote_work No","tech_company Yes","benefits Yes","care_options No","wellness_program No","seek_help No","anonymity Yes","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"125","Age 27","Gender Male","Country Canada","state NA","self_employed No","family_history No","treatment Yes","work_interfere Never","no_employees 100-500","remote_work No","tech_company No","benefits Yes","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Very difficult","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence Yes","age_grp 26-30"
"126","Age 27","Gender Male","Country United States","state WA","self_employed No","family_history Yes","treatment No","work_interfere Never","no_employees 500-1000","remote_work No","tech_company Yes","benefits Yes","care_options No","wellness_program Yes","seek_help Yes","anonymity Yes","leave Don't know","mental_health_consequence Yes","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"127","Age 27","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"128","Age 32","Gender Male","Country United States","state OR","self_employed No","family_history No","treatment Yes","work_interfere Rarely","no_employees 100-500","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help Yes","anonymity Yes","leave Don't know","mental_health_consequence Yes","phys_health_consequence No","coworkers No","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"129","Age 31","Gender Male","Country United Kingdom","state NA","self_employed No","family_history Yes","treatment No","work_interfere Sometimes","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"130","Age 19","Gender Male","Country Slovenia","state NA","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence Yes","phys_health_consequence Yes","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp <=21"
"131","Age 33","Gender Male","Country United States","state IL","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Very easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Yes","supervisor Some of them","mental_health_interview No","phys_health_interview Yes","mental_vs_physical No","obs_consequence No","age_grp 31-35"
"132","Age 32","Gender Male","Country United States","state CA","self_employed No","family_history No","treatment No","work_interfere Rarely","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Very difficult","mental_health_consequence Maybe","phys_health_consequence No","coworkers Yes","supervisor Some of them","mental_health_interview No","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"133","Age 27","Gender Male","Country United States","state NE","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"134","Age 38","Gender Male","Country Costa Rica","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 26-100","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Yes","mental_vs_physical No","obs_consequence No","age_grp 36-40"
"135","Age 24","Gender Male","Country Canada","state NA","self_employed No","family_history No","treatment Yes","work_interfere Never","no_employees 26-100","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Yes","mental_vs_physical Don't know","obs_consequence No","age_grp 22-25"
"136","Age 39","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work No","tech_company No","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"137","Age 28","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"138","Age 39","Gender Male","Country United States","state IA","self_employed No","family_history No","treatment Yes","work_interfere Often","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"139","Age 29","Gender Female","Country United States","state MD","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"140","Age 22","Gender Male","Country Austria","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 6-25","remote_work Yes","tech_company Yes","benefits Don't know","care_options No","wellness_program Don't know","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 22-25"
"141","Age 38","Gender Male","Country United States","state OR","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 100-500","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"142","Age 37","Gender Male","Country United Kingdom","state NA","self_employed Yes","family_history No","treatment Yes","work_interfere Sometimes","no_employees More than 1000","remote_work No","tech_company No","benefits No","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Yes","leave Very difficult","mental_health_consequence Yes","phys_health_consequence Yes","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 36-40"
"143","Age 35","Gender Male","Country United States","state TX","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work Yes","tech_company No","benefits Don't know","care_options Not sure","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"145","Age 30","Gender Female","Country United States","state PA","self_employed No","family_history Yes","treatment No","work_interfere NA","no_employees More than 1000","remote_work Yes","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"146","Age 37","Gender Male","Country United States","state IN","self_employed No","family_history Yes","treatment Yes","work_interfere Rarely","no_employees 100-500","remote_work No","tech_company No","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Don't know","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor Yes","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"147","Age 24","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Yes","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers No","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 22-25"
"148","Age 23","Gender Male","Country United States","state WV","self_employed No","family_history No","treatment No","work_interfere Sometimes","no_employees 6-25","remote_work No","tech_company No","benefits No","care_options No","wellness_program No","seek_help No","anonymity No","leave Somewhat easy","mental_health_consequence Yes","phys_health_consequence Yes","coworkers No","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp 22-25"
"149","Age 30","Gender Male","Country Ireland","state NA","self_employed No","family_history No","treatment Yes","work_interfere Rarely","no_employees 100-500","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Don't know","leave Somewhat easy","mental_health_consequence Yes","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence Yes","age_grp 26-30"
"150","Age 29","Gender Female","Country United States","state MI","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 100-500","remote_work Yes","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers No","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"151","Age 19","Gender Male","Country Canada","state NA","self_employed Yes","family_history Yes","treatment No","work_interfere NA","no_employees 1-5","remote_work Yes","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help Yes","anonymity Yes","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp <=21"
"152","Age 32","Gender Male","Country United States","state CA","self_employed No","family_history Yes","treatment No","work_interfere Never","no_employees 26-100","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 31-35"
"153","Age 28","Gender Male","Country Poland","state NA","self_employed No","family_history No","treatment No","work_interfere Rarely","no_employees 6-25","remote_work Yes","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview Maybe","phys_health_interview Yes","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"154","Age 36","Gender Male","Country United States","state IL","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program Don't know","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 36-40"
"155","Age 37","Gender Male","Country United Kingdom","state NA","self_employed No","family_history Yes","treatment Yes","work_interfere Rarely","no_employees More than 1000","remote_work No","tech_company No","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Yes","leave Somewhat difficult","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview Yes","mental_vs_physical No","obs_consequence Yes","age_grp 36-40"
"156","Age 25","Gender Male","Country United States","state IL","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work No","tech_company No","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Somewhat difficult","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 22-25"
"157","Age 27","Gender Male","Country United States","state CA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees More than 1000","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers No","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"158","Age 26","Gender Male","Country United States","state OK","self_employed No","family_history No","treatment No","work_interfere Often","no_employees 26-100","remote_work No","tech_company No","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 26-30"
"159","Age 27","Gender Male","Country United States","state UT","self_employed No","family_history No","treatment Yes","work_interfere Rarely","no_employees 26-100","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Somewhat difficult","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence Yes","age_grp 26-30"
"160","Age 25","Gender Male","Country United States","state IL","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 26-100","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Very easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor No","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence Yes","age_grp 22-25"
"161","Age 36","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees More than 1000","remote_work No","tech_company No","benefits Yes","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Yes","leave Somewhat easy","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence Yes","age_grp 36-40"
"162","Age 25","Gender Female","Country United States","state NY","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 500-1000","remote_work No","tech_company Yes","benefits Yes","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Yes","phys_health_consequence Yes","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 22-25"
"163","Age 31","Gender Male","Country United States","state CA","self_employed No","family_history No","treatment No","work_interfere Never","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options No","wellness_program No","seek_help Yes","anonymity Don't know","leave Don't know","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"164","Age 26","Gender Male","Country United States","state MA","self_employed No","family_history Yes","treatment No","work_interfere Rarely","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"165","Age 33","Gender Female","Country United States","state WA","self_employed Yes","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees 1-5","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program Yes","seek_help Yes","anonymity Yes","leave Very difficult","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Yes","mental_vs_physical Yes","obs_consequence No","age_grp 31-35"
"166","Age 27","Gender Female","Country United Kingdom","state NA","self_employed Yes","family_history Yes","treatment No","work_interfere NA","no_employees 1-5","remote_work Yes","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"167","Age 34","Gender Male","Country United States","state MN","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Very easy","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"168","Age 42","Gender Male","Country United States","state CA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 6-25","remote_work No","tech_company Yes","benefits No","care_options Yes","wellness_program No","seek_help No","anonymity Don't know","leave Very difficult","mental_health_consequence Maybe","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 41-55"
"169","Age 23","Gender Male","Country Ireland","state NA","self_employed Yes","family_history Yes","treatment No","work_interfere Sometimes","no_employees 1-5","remote_work No","tech_company Yes","benefits No","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Very difficult","mental_health_consequence Yes","phys_health_consequence No","coworkers No","supervisor No","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 22-25"
"170","Age 24","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere Rarely","no_employees 100-500","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program Yes","seek_help Don't know","anonymity Don't know","leave Very easy","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 22-25"
"171","Age 26","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees More than 1000","remote_work No","tech_company Yes","benefits Yes","care_options Yes","wellness_program Don't know","seek_help Don't know","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Don't know","obs_consequence No","age_grp 26-30"
"172","Age 31","Gender Male","Country United Kingdom","state NA","self_employed Yes","family_history No","treatment Yes","work_interfere Often","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help No","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"173","Age 22","Gender Male","Country India","state NA","self_employed No","family_history No","treatment Yes","work_interfere Never","no_employees More than 1000","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help No","anonymity Don't know","leave Very difficult","mental_health_consequence Yes","phys_health_consequence Maybe","coworkers No","supervisor No","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical No","obs_consequence No","age_grp 22-25"
"174","Age 23","Gender Female","Country United States","state NC","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 6-25","remote_work No","tech_company Yes","benefits Don't know","care_options No","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence Maybe","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 22-25"
"175","Age 34","Gender Female","Country Canada","state NA","self_employed No","family_history Yes","treatment Yes","work_interfere Sometimes","no_employees More than 1000","remote_work No","tech_company No","benefits Yes","care_options Yes","wellness_program Yes","seek_help No","anonymity Don't know","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical No","obs_consequence No","age_grp 31-35"
"176","Age 31","Gender Male","Country United States","state MO","self_employed No","family_history No","treatment No","work_interfere Never","no_employees 26-100","remote_work No","tech_company Yes","benefits Don't know","care_options Not sure","wellness_program No","seek_help Don't know","anonymity Don't know","leave Don't know","mental_health_consequence Maybe","phys_health_consequence No","coworkers No","supervisor Some of them","mental_health_interview No","phys_health_interview Maybe","mental_vs_physical Don't know","obs_consequence No","age_grp 31-35"
"177","Age 28","Gender Male","Country United Kingdom","state NA","self_employed No","family_history No","treatment No","work_interfere NA","no_employees 100-500","remote_work No","tech_company No","benefits No","care_options Not sure","wellness_program No","seek_help Yes","anonymity Yes","leave Somewhat easy","mental_health_consequence No","phys_health_consequence No","coworkers Some of them","supervisor Some of them","mental_health_interview Maybe","phys_health_interview Maybe","mental_vs_physical Yes","obs_consequence No","age_grp 26-30"
"178","Age 32","Gender Female","Country United States","state MA","self_employed No","family_history No","treatment Yes","work_interfere Often","no_employees 6-25","remote_work Yes","tech_company Yes","benefits Yes","care_options Not sure","wellness_program Don't know","seek_help Don't know","anonymity Yes","leave Very easy","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence Yes","age_grp 31-35"
"179","Age 45","Gender Female","Country United States","state CA","self_employed No","family_history No","treatment Yes","work_interfere Sometimes","no_employees 1-5","remote_work No","tech_company Yes","benefits Yes","care_options No","wellness_program No","seek_help No","anonymity Yes","leave Somewhat difficult","mental_health_consequence No","phys_health_consequence No","coworkers Yes","supervisor Yes","mental_health_interview No","phys_health_interview No","mental_vs_physical Yes","obs_consequence No","age_grp 41-55"
